Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
GPIL,28,378.74,271.3,7596.4,-3008.3,-28.37,-2.3
LAURUSLABS,60,337.9,512.15,30729,10455,51.57,-0.86
